date,Country,GDP,Unemployment Rate,Inflation Rate,Current Account Balance,Year,Period,GDP_YoY_Change,Unemployment Rate_YoY_Change,Inflation Rate_YoY_Change,Current Account Balance_YoY_Change
2000-01-01,Brazil,655448231983.527,10.892,52.5315827425714,-26530848798.8242,2000,2000-2005,,,,
2001-01-01,Brazil,559983634798.981,10.649,56.1249316036126,-24890077179.8191,2001,2000-2005,-14.56478063807567,-2.230995225853838,6.840359024875076,-6.184391729969141
2002-01-01,Brazil,509795273806.715,10.641,60.8675805806435,-9407043257.05195,2002,2000-2005,-8.962469235423676,-0.07512442482860981,8.450164377083391,-62.205648503656754
2003-01-01,Brazil,558233745651.874,11.169,69.8241962003047,2193173018.42129,2003,2000-2005,9.50155372831567,4.9619396673245,14.714919722814624,-123.3141589603852
2004-01-01,Brazil,669289424806.307,10.072,74.430627668128,8959313364.24297,2004,2000-2005,19.894117834948943,-9.821828274688881,6.597185099859693,308.5091914313329
2005-01-01,Brazil,891633839853.105,10.551,79.5436673306746,11679374942.1176,2005,2000-2005,33.22096641690471,4.755758538522636,6.86953720898964,30.360156713912033
2006-01-01,Brazil,1107626541710.74,9.692,82.8714308457339,10773999924.4617,2006,2006-2010,24.224372405293558,-8.141408397308314,4.183568128969095,-7.751913284254441
2007-01-01,Brazil,1397114486471.38,9.28,85.8890058743968,-2753670195.51863,2007,2006-2010,26.1358800876623,-4.250928600907978,3.6412729910265007,-125.55847609824642
2008-01-01,Brazil,1695855083552.05,8.268,90.7662937251916,-35601727612.843,2008,2006-2010,21.38268552602185,-10.905172413793085,5.678593902841644,1192.8827740802753
2009-01-01,Brazil,1666996438681.46,9.419,95.202981748031,-29328433093.6155,2009,2006-2010,-1.7017164467935664,13.921141751330435,4.888034798768048,-17.62075870993538
2010-01-01,Brazil,2208837745214.23,8.424,100.0,-86717778084.25,2010,2006-2010,32.504047036918024,-10.563754114024848,5.0387269010807145,195.67818303640493
2011-01-01,Brazil,2616156223977.47,7.578,106.636449622131,-83576205984.365,2011,2011-2015,18.440398333728012,-10.042735042735028,6.636449622130991,-3.622754375501669
2012-01-01,Brazil,2465227803011.57,7.251,112.398549260784,-92678171336.37,2012,2011-2015,-5.7690905299392465,-4.315122723673792,5.4034991403700605,10.890618023158094
2013-01-01,Brazil,2472819535742.73,7.071,119.372104441451,-88384030093.09,2013,2011-2015,0.30795258441780327,-2.482416218452632,6.204310666401169,-4.63339012990952
2014-01-01,Brazil,2456043727198.85,6.755,126.927212865611,-110493241349.855,2014,2011-2015,-0.6784081208271897,-4.468957714608967,6.32904015516087,25.01493904891936
2015-01-01,Brazil,1802212206904.68,8.538,138.388614560102,-63408884124.215,2015,2011-2015,-26.621330599837222,26.39526276831976,9.029901024161147,-42.61288441756966
2016-01-01,Brazil,1795693482652.52,11.58,150.482594206408,-30529374570.13,2016,2016-2020,-0.36170680828735424,35.62895291637385,8.739143523294391,-51.85315907732361
2017-01-01,Brazil,2063514977334.32,12.792,155.668786230018,-25337408625.13,2017,2016-2020,14.914655383511555,10.466321243523314,3.446373350326737,-17.00646023086182
2018-01-01,Brazil,1916933898038.36,12.33,161.373814183906,-54793943203.345,2018,2016-2020,-7.103465732306713,-3.611632270168852,3.6648502837673513,116.25709248340254
2019-01-01,Brazil,1873288205186.45,11.936,167.397860280061,-68021678683.915,2019,2016-2020,-2.2768491337428864,-3.1954582319545843,3.7329762121689924,24.140871613274385
2020-01-01,Brazil,1476107231194.11,13.697,172.774291252888,-28207552292.565,2020,2016-2020,-21.20234211119736,14.753686327077741,3.2117680380335134,-58.53152577483331
2021-01-01,Brazil,1670647399034.67,13.159,187.117425058296,-46357789404.9,2021,2021-2023,13.179270701301604,-3.927867416222519,8.301659755856905,64.34531051855596
2022-01-01,Brazil,1951923942083.32,9.231,204.482120615775,-48252882545.63,2022,2021-2023,16.836379909439714,-29.850292575423666,9.280106089568662,4.087971331371731
2023-01-01,Brazil,2173665655937.27,7.95,213.87513528772,-30828236330.145,2023,2021-2023,11.360161585870054,-13.87715307117322,4.593562822832142,-36.1110990602634
2000-01-01,India,468395521654.458,7.856,54.3383216485078,-4601248652.10514,2000,2000-2005,,,,
2001-01-01,India,485440139204.171,8.039,56.3919261013738,1410181566.42623,2001,2000-2005,3.6389369158587037,2.329429735234223,3.779293122356475,-130.64780178269763
2002-01-01,India,514939140318.756,8.248,58.815172903837,7059496037.43388,2002,2000-2005,6.076753595808038,2.5998258489861925,4.297152039295504,400.6090141515958
2003-01-01,India,607700687237.318,8.397,61.0535954523922,8772510263.57572,2003,2000-2005,18.014079656314543,1.8064985451018645,3.805858995288558,24.265389725532295
2004-01-01,India,709152728830.775,8.551,63.3536380862151,780195721.51843,2004,2000-2005,16.694409554590184,1.8339883291651704,3.7672517347752343,-91.10635726745313
