image_id,antelope,bat,beaver,bobcat,buffalo,chihuahua,chimpanzee,collie,dalmatian,german+shepherd,grizzly+bear,hippopotamus,horse,killer+whale,mole,moose,mouse,otter,ox,persian+cat,raccoon,rat,rhinoceros,seal,siamese+cat,spider+monkey,squirrel,walrus,weasel,wolf
Img-1.jpg,5.74E-07,4.67E-08,2.69E-07,4.47E-07,0.9999863,6.49E-09,1.21E-08,1.43E-07,2.07E-07,3.03E-07,1.68E-06,1.12E-07,4.19E-07,3.15E-08,6.35E-09,2.02E-06,4.14E-08,1.77E-08,6.78E-06,1.92E-08,7.99E-08,1.87E-08,5.84E-07,6.86E-09,1.56E-08,8.38E-09,6.11E-08,5.51E-09,8.57E-08,3.67E-08
Img-2.jpg,1.00E-04,1.45E-05,2.85E-05,0.004144643,2.30E-05,4.88E-05,1.70E-05,4.59E-05,2.40E-05,2.35E-05,3.06E-05,0.002510517,1.31E-05,0.000933942,3.08E-05,5.20E-06,0.000697163,0.000445147,7.88E-07,0.370536,0.012485191,0.00049797,0.000189394,0.000746509,0.605067,1.94E-05,0.000982799,2.91E-05,0.000175451,0.000134255
Img-3.jpg,0.000131029,8.28E-05,1.05E-05,6.21E-05,0.000420447,7.20E-07,3.58E-06,1.34E-06,2.22E-06,8.32E-06,1.36E-05,0.000196183,0.000976419,7.71E-06,5.85E-06,0.13341579,6.97E-05,8.93E-07,0.001147235,1.16E-06,0.000144575,0.000105641,0.8232206,1.33E-05,3.05E-06,2.45E-06,5.59E-06,6.17E-06,8.90E-07,0.03993995
Img-4.jpg,8.74E-08,3.00E-06,2.74E-07,2.93E-07,1.93E-07,2.29E-06,1.61E-07,1.85E-07,4.11E-08,1.85E-07,1.20E-06,4.11E-07,3.46E-08,4.47E-07,5.36E-06,1.57E-07,3.33E-07,6.88E-07,1.76E-09,8.11E-07,0.9993806,3.40E-07,5.70E-08,5.84E-07,6.14E-06,4.63E-07,3.78E-06,1.26E-07,0.000590508,8.95E-07
Img-5.jpg,5.31E-08,0.000152275,0.000747334,6.94E-09,3.44E-07,0.000207039,3.64E-05,2.24E-06,1.76E-06,6.05E-06,4.69E-06,7.73E-07,6.96E-08,4.23E-06,0.8564226,4.21E-07,0.000187816,2.83E-05,2.00E-07,3.11E-07,2.42E-05,0.1396049,4.92E-08,3.61E-06,3.38E-07,5.31E-06,1.07E-06,3.25E-05,0.002525029,6.83E-08
Img-6.jpg,2.48E-08,8.92E-09,8.82E-07,9.95E-08,4.68E-07,5.49E-09,5.15E-08,4.01E-08,4.12E-08,8.43E-08,6.44E-07,1.80E-05,1.96E-09,1.06E-06,5.61E-07,3.12E-08,1.81E-08,5.56E-06,1.47E-07,1.25E-08,1.17E-07,2.01E-08,6.19E-09,0.9986979,1.97E-08,7.65E-08,1.25E-07,0.001273441,3.47E-07,1.25E-07
Img-7.jpg,0.000769616,2.26E-06,8.20E-06,1.40E-06,6.28E-06,5.63E-07,2.66E-07,2.27E-07,1.14E-07,8.35E-06,2.00E-06,6.89E-08,0.003371133,5.91E-07,9.61E-06,0.99579465,4.38E-06,1.14E-07,8.12E-07,5.30E-09,3.73E-07,7.48E-07,3.37E-07,7.22E-07,4.15E-08,1.34E-06,4.20E-07,5.33E-08,5.83E-07,1.47E-05
Img-8.jpg,2.42E-06,9.75E-07,7.15E-07,1.98E-07,1.39E-08,1.17E-07,2.02E-06,4.68E-08,4.24E-07,1.12E-08,5.01E-08,7.22E-08,0.9999813,3.50E-08,1.30E-07,3.04E-06,9.10E-09,8.82E-09,4.53E-06,1.50E-07,3.42E-09,3.71E-08,2.43E-06,8.55E-08,2.77E-07,1.28E-07,2.61E-08,1.01E-06,1.31E-08,5.16E-09
Img-9.jpg,1.45E-06,1.15E-05,0.00027109,9.11E-07,0.9996292,1.58E-08,1.66E-06,1.46E-07,6.58E-08,7.33E-07,2.33E-06,2.38E-06,4.35E-06,1.96E-07,8.47E-06,3.91E-05,6.05E-07,4.87E-06,7.93E-06,1.21E-06,3.00E-06,4.02E-07,1.24E-06,2.16E-07,1.42E-07,6.21E-07,5.29E-06,4.89E-07,6.17E-07,6.57E-08
Img-10.jpg,8.65E-09,7.23E-09,1.38E-08,9.45E-08,4.48E-09,5.95E-08,5.19E-08,3.73E-08,0.99999714,3.53E-08,1.11E-07,1.80E-07,3.02E-09,6.64E-07,3.43E-09,4.89E-10,3.04E-07,8.02E-08,5.79E-08,2.59E-07,1.14E-08,4.29E-08,7.35E-08,5.63E-07,6.31E-09,1.66E-08,6.51E-10,2.25E-08,4.34E-07,1.98E-07
