expression,solution
1x + -1y + 1y + 1x,Step 1: Simplify → 1x + -1y + 1y + 1x
(2x + -4)(3x + 1),Step 1: Expand → (2x + -4)(3x + 1)
4y + 2x + 5x,Step 1: Simplify → 4y + 2x + 5x
9x + 4 = -37,Step 1: Subtract 4 from both sides → 9x = -41 Step 2: Divide both sides by 9 → x = -4.555555555555555
2x + -18 = -47,Step 1: Subtract -18 from both sides → 2x = -29 Step 2: Divide both sides by 2 → x = -14.5
9x + -10 = 4,Step 1: Subtract -10 from both sides → 9x = 14 Step 2: Divide both sides by 9 → x = 1.5555555555555556
10x + -12 = -21,Step 1: Subtract -12 from both sides → 10x = -9 Step 2: Divide both sides by 10 → x = -0.9
(5x + -5)(1x + -1),Step 1: Expand → (5x + -5)(1x + -1)
2y + -2x + 1y + -3x,Step 1: Simplify → 2y + -2x + 1y + -3x
10x + 9 = 32,Step 1: Subtract 9 from both sides → 10x = 23 Step 2: Divide both sides by 10 → x = 2.3
2x^2 + 5x + -10,Step 1: Simplify → 2x^2 + 5x + -10
(4x + 0)(2x + -4),Step 1: Expand → (4x + 0)(2x + -4)
2x^2 + 0x + -4,Step 1: Simplify → 2x^2 + 0x + -4
10x + -7 = -21,Step 1: Subtract -7 from both sides → 10x = -14 Step 2: Divide both sides by 10 → x = -1.4
7x + -9 = 28,Step 1: Subtract -9 from both sides → 7x = 37 Step 2: Divide both sides by 7 → x = 5.285714285714286
2x^2 + 4x + 8,Step 1: Simplify → 2x^2 + 4x + 8
2x + -3x + -5y + -4x,Step 1: Simplify → 2x + -3x + -5y + -4x
10x + 6 = 3,Step 1: Subtract 6 from both sides → 10x = -3 Step 2: Divide both sides by 10 → x = -0.3
-3y + 1y + -1y + 2x + 1y + 5x,Step 1: Simplify → -3y + 1y + -1y + 2x + 1y + 5x
(3x + -1)(2x + -5),Step 1: Expand → (3x + -1)(2x + -5)
1x^2 + 4x + 1,Step 1: Simplify → 1x^2 + 4x + 1
(1x + 4)(1x + -3),Step 1: Expand → (1x + 4)(1x + -3)
2x + 7 = 18,Step 1: Subtract 7 from both sides → 2x = 11 Step 2: Divide both sides by 2 → x = 5.5
10x + -16 = 4,Step 1: Subtract -16 from both sides → 10x = 20 Step 2: Divide both sides by 10 → x = 2.0
(2x + -4)(4x + 1),Step 1: Expand → (2x + -4)(4x + 1)
(5x + 0)(2x + 5),Step 1: Expand → (5x + 0)(2x + 5)
(1x + 4)(3x + 3),Step 1: Expand → (1x + 4)(3x + 3)
2x^2 + -5x + -10,Step 1: Simplify → 2x^2 + -5x + -10
5y + 1x + -1y,Step 1: Simplify → 5y + 1x + -1y
2x + -18 = 46,Step 1: Subtract -18 from both sides → 2x = 64 Step 2: Divide both sides by 2 → x = 32.0
1x^2 + 3x + -5,Step 1: Simplify → 1x^2 + 3x + -5
2x + -8 = -18,Step 1: Subtract -8 from both sides → 2x = -10 Step 2: Divide both sides by 2 → x = -5.0
-1y + 4x + -5y,Step 1: Simplify → -1y + 4x + -5y
1y + -4x + -3x + 3x + -1y,Step 1: Simplify → 1y + -4x + -3x + 3x + -1y
3x + -20 = 29,Step 1: Subtract -20 from both sides → 3x = 49 Step 2: Divide both sides by 3 → x = 16.333333333333332
