Patient_Problem,Disease,Prescription
"Constant fatigue and muscle weakness, struggling to stay awake.",Chronic Fatigue Syndrome,"Cognitive behavioral therapy, graded exercise therapy."
"Frequent severe migraines, sensitivity to light and sound.",Migraine with Aura,"Prescription triptans, avoid triggers like bright lights."
"Sudden weight gain and feeling cold, especially in the hands and feet.",Hypothyroidism,Levothyroxine to regulate thyroid hormone levels.
"High fever, sore throat, and swollen lymph nodes, feeling very weak.",Mononucleosis,"Rest and hydration, ibuprofen for pain."
"Excessive thirst and frequent urination, dry mouth persistently.",Diabetes Mellitus,Insulin therapy and lifestyle changes.
"Sharp, stabbing chest pain that worsens when lying down or inhaling deeply.",Pericarditis,"Anti-inflammatory medication, rest."
"Unexplained weight loss and night sweats, feeling feverish.",Tuberculosis,"Antibiotics, rest, and a high-calorie diet."
"Severe abdominal pain radiating to the back, nausea without vomiting.",Pancreatitis,"IV fluids, pain relief, and sometimes surgery."
"Joint swelling and stiffness in the morning, especially in the fingers and wrists.",Rheumatoid Arthritis,"DMARDs and NSAIDs, physical therapy."
"Recurrent, painful blisters around the mouth and nose.",Herpes Simplex,"Antiviral medication, pain relief creams."
"Progressive difficulty swallowing, accompanied by heartburn.",Esophageal Reflux,"Antacids, avoid spicy and fatty foods."
"Chronic diarrhea, abdominal cramps, and gas.",Irritable Bowel Syndrome,"Fiber supplements, antispasmodic drugs."
"Intense itching, especially at night, with visible burrows on the skin.",Scabies,"Permethrin cream, wash all clothing and bedding."
"Yellowing of the skin and eyes, dark urine, and general fatigue.",Hepatitis,"Antiviral drugs, liver function monitoring."
"Sudden, severe headache with no known cause, blurred vision.",Subarachnoid Hemorrhage,"Immediate medical evaluation, possibly surgery."
"Persistent cough with blood-tinged sputum, night sweats.",Lung Cancer,"Chemotherapy, targeted drug therapy."
"Frequent nosebleeds, easy bruising, and prolonged bleeding from cuts.",Hemophilia,Replacement therapy with clotting factors.
Severe itching and rash after consuming certain foods.,Food Allergy,"Avoidance of allergens, antihistamines."
"Repeated urinary tract infections, burning sensation while urinating.",Urinary Tract Infection,"Antibiotics, plenty of fluids."
"Difficulty concentrating, memory lapses, and confusion.",Early Onset Dementia,"Cognitive stimulation therapy, supportive care."
I've been feeling extremely fatigued and find it hard to concentrate.,Chronic Fatigue Syndrome,"Regular exercise, stress management techniques."
"Experiencing frequent headaches, sensitivity to light and sound.",Migraine,"Avoid triggers, consider prophylactic medications."
"Noticed a persistent cough and occasional wheezing, especially at night.",Asthma,"Inhaled corticosteroids, avoid allergens."
"Sudden episodes of rapid heartbeat, feeling faint.",Panic Attacks,"Deep breathing exercises, SSRIs if recurrent."
Unintended weight loss and constant thirst.,Type 1 Diabetes,"Insulin therapy, dietary adjustments."
"Joint pain in hands and feet, stiffness in the morning.",Rheumatoid Arthritis,"DMARDs, physical therapy."
"Recurrent stomach pain, bloating, and altered bowel habits.",Irritable Bowel Syndrome (IBS),"Diet modification, antispasmodic drugs."
"Severe acne on face and back, not responding to over-the-counter treatments.",Cystic Acne,"Topical retinoids, oral antibiotics for severe cases."
"Difficulty falling asleep, waking up frequently during the night.",Insomnia,"Good sleep hygiene, cognitive-behavioral therapy."
"Constantly feeling sad, loss of interest in activities.",Major Depressive Disorder,"Antidepressants, psychotherapy."
"Blurry vision, especially when looking at objects close or far away.",Myopia and Hyperopia,"Corrective lenses or contact lenses, regular eye exams."
"Frequent urination, especially at night, and feeling thirsty.",Diabetes Type 2,"Lifestyle changes, metformin for blood sugar control."
"Swelling and pain in the big toe, redness around the joint.",Gout,"Avoid foods high in purines, allopurinol."
"Shortness of breath during physical activities, chest tightness.",Chronic Obstructive Pulmonary Disease (COPD),"Long-acting bronchodilators, quit smoking."
"Recurrent episodes of vertigo, feeling like the room is spinning.",Benign Positional Vertigo,"Avoid sudden head movements, vestibular rehab exercises."
"Excessive sweating, even when not engaging in physical activities.",Hyperhidrosis,"Antiperspirants, botox injections in severe cases."
"Yellowing of the skin and eyes, fatigue, and abdominal pain.",Hepatitis,"Antiviral medication, avoid alcohol."
"Persistent sore throat, difficulty swallowing, and swollen lymph nodes.",Pharyngitis,"Antibiotics if bacterial, pain relievers."
"Numbness and tingling in the hands and feet, weakness.",Peripheral Neuropathy,"Blood sugar control, gabapentin for pain relief."
"Sharp, stabbing pain in the chest, worsening with deep breaths.",Pulmonary Embolism,"Anticoagulants, avoid prolonged periods of immobility."
I've been experiencing severe headaches and occasional dizziness.,Migraine and Vertigo,Sumatriptan; avoid stress triggers.
"My stomach has been upset, and I've had bouts of diarrhea and nausea.",Gastrointestinal Infection,Hydration; Probiotics; Loperamide if necessary.
I've noticed a rash on my arm that's itchy and spreading.,Contact Dermatitis,Hydrocortisone cream; avoid irritants.
I have persistent coughing and shortness of breath.,Chronic Bronchitis,Inhaled corticosteroids; quit smoking.
I'm experiencing sharp knee pain when walking or climbing stairs.,Patellar Tendinitis,Physical therapy; ice application.
"My vision has become blurry, especially when reading.",Myopia,Prescription glasses; regular eye check-ups.
