customer_id,age,gender,tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,partner,dependents,phone_service,multiple_lines,churn
1,52,Male,6,68.79412335220792,464.9597524676403,One year,Bank transfer,No,No internet service,No internet service,Yes,No internet service,No internet service,No,No,No,No,No,Yes,0
2,42,Female,0,51.76035644406782,119.98996609223627,One year,Mailed check,Fiber optic,No internet service,No,No,No internet service,Yes,No,Yes,No,No,No,Yes,0
3,54,Male,0,73.51774412386072,2712.7120288613314,Two year,Mailed check,DSL,Yes,No,Yes,Yes,Yes,No internet service,No,No,No,No,No,0
4,67,Female,0,65.38295554831504,116.84979194141624,One year,Mailed check,DSL,Yes,Yes,No internet service,No internet service,Yes,No,Yes,No,No,No,No phone service,0
5,41,Male,15,52.170261819113804,1627.6809470620772,Month-to-month,Electronic check,No,No internet service,No,No internet service,No,Yes,Yes,No,Yes,No,No,No,1
6,41,Male,6,74.75744569742147,2437.3131870389607,Month-to-month,Mailed check,No,Yes,Yes,No internet service,No internet service,Yes,No internet service,No,Yes,Yes,Yes,No phone service,0
7,68,Male,2,101.08696219573486,2185.175536829914,Two year,Bank transfer,Fiber optic,No internet service,Yes,No internet service,No internet service,No,No,No,No,Yes,No,No phone service,1
8,56,Male,1,61.18192416545403,2425.4448641841723,One year,Electronic check,Fiber optic,No,Yes,No internet service,No internet service,Yes,No internet service,Yes,No,Yes,Yes,No,0
9,37,Female,2,79.39515884296364,2222.289855800854,Two year,Electronic check,DSL,Yes,No,No,No internet service,Yes,No,Yes,No,Yes,Yes,No,0
10,53,Male,7,39.134540842576726,3278.865813313393,Month-to-month,Electronic check,Fiber optic,No internet service,No internet service,No internet service,No,No,No internet service,No,Yes,Yes,Yes,No,1
11,38,Female,5,45.871272463639826,1047.6836192612031,Two year,Electronic check,DSL,No internet service,No internet service,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,0
12,38,Male,1,74.44812555760754,1323.0048615414687,One year,Bank transfer,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No phone service,0
13,48,Male,0,94.6823205707193,1227.340554729176,Two year,Mailed check,Fiber optic,Yes,No internet service,Yes,No,Yes,No,Yes,No,No,No,Yes,0
14,16,Male,0,72.1122669757132,2830.19181186261,One year,Bank transfer,No,No,Yes,Yes,Yes,Yes,No internet service,No,No,Yes,No,No phone service,0
15,19,Female,5,58.73883938953691,2900.3985883950636,One year,Mailed check,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,No internet service,Yes,Yes,No,Yes,No phone service,0
16,36,Male,7,64.98582810846708,2451.2253193185084,Month-to-month,Bank transfer,DSL,No,No,Yes,Yes,No internet service,Yes,No,No,Yes,No,Yes,1
17,29,Female,1,39.99184532060565,3183.493666889928,Month-to-month,Credit card,No,No,No internet service,No,Yes,Yes,No internet service,Yes,No,Yes,No,Yes,1
18,49,Female,0,77.09030652710733,821.9591326236193,Month-to-month,Credit card,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No phone service,1
19,31,Female,0,82.64666124646818,3667.224111551137,One year,Credit card,Fiber optic,Yes,Yes,No,Yes,Yes,No internet service,Yes,Yes,No,No,No,0
20,23,Female,17,55.958193343338394,3523.2386217122585,Two year,Credit card,No,No,No,No,No internet service,No,No internet service,Yes,No,Yes,No,No,0
21,66,Female,1,55.59915704480997,2735.6219972457466,One year,Electronic check,DSL,Yes,No,No,No,No,Yes,No,Yes,No,No,No,1
22,41,Female,7,70.31756459304097,3781.7989087710603,Month-to-month,Electronic check,No,Yes,No,Yes,No internet service,No,No internet service,No,No,Yes,Yes,No,1
23,46,Female,4,56.265605279188094,343.37679232222627,Month-to-month,Bank transfer,No,No,Yes,No,No,Yes,No internet service,Yes,Yes,Yes,Yes,No phone service,1
24,23,Female,2,63.67734770748355,1475.5518637373482,Two year,Bank transfer,Fiber optic,No,No internet service,No internet service,No internet service,Yes,Yes,No,Yes,Yes,No,No,0
25,36,Female,1,106.99443578333032,1264.6965393180476,Month-to-month,Credit card,No,No internet service,No internet service,No internet service,Yes,No,No,Yes,No,Yes,Yes,No,1
26,46,Male,0,60.059485985080066,2721.479323757343,Month-to-month,Mailed check,Fiber optic,No,No,Yes,Yes,No internet service,Yes,No,No,Yes,Yes,No,1
27,27,Male,4,57.83319695957556,949.8592603978543,Month-to-month,Credit card,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,No internet service,Yes,Yes,No,No,No phone service,1
28,50,Male,7,52.049163887296814,2757.4951493374856,Two year,Bank transfer,No,No,No internet service,No internet service,No internet service,No internet service,No,No,No,Yes,Yes,Yes,0
29,35,Male,5,79.88383942999873,,One year,Credit card,DSL,No,No,No internet service,No,No,No,No,Yes,No,No,No,0
30,40,Male,3,61.37551653563794,2695.2029000839993,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No phone service,1
31,35,Female,0,52.01253923357148,2283.751023661501,Two year,Credit card,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No phone service,0
32,72,Female,17,91.42608064546025,1012.1266590992508,Month-to-month,Mailed check,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,No,Yes,Yes,Yes,Yes,No,0
