,predictions,file_names
0,disgust,03-01-06-01-02-02-01.wav
1,happy,03-01-03-01-02-01-21.wav
2,fearful,03-01-07-01-02-02-04.wav
3,calm,03-01-02-02-01-02-24.wav
4,disgust,03-01-07-01-02-02-19.wav
5,calm,03-01-06-01-01-01-07.wav
6,disgust,03-01-07-01-01-01-16.wav
7,calm,03-01-02-01-02-02-06.wav
8,happy,03-01-06-01-01-02-07.wav
9,disgust,03-01-06-02-01-01-15.wav
10,calm,03-01-02-02-02-02-07.wav
11,fearful,03-01-06-01-02-02-19.wav
12,fearful,03-01-06-02-02-02-05.wav
13,calm,03-01-06-01-01-01-14.wav
14,disgust,03-01-06-01-02-01-15.wav
15,happy,03-01-03-02-02-01-06.wav
16,calm,03-01-02-01-01-02-16.wav
17,disgust,03-01-07-01-01-01-13.wav
18,fearful,03-01-03-02-02-02-24.wav
19,calm,03-01-02-01-02-02-19.wav
20,calm,03-01-02-02-01-02-09.wav
21,calm,03-01-02-01-01-02-07.wav
22,happy,03-01-03-01-02-01-13.wav
23,calm,03-01-02-01-02-01-18.wav
24,disgust,03-01-02-02-02-02-03.wav
25,calm,03-01-02-02-01-01-11.wav
26,fearful,03-01-03-01-02-02-20.wav
27,happy,03-01-03-02-01-02-06.wav
28,disgust,03-01-06-01-01-02-11.wav
29,calm,03-01-03-01-02-01-18.wav
30,calm,03-01-06-01-01-01-15.wav
31,calm,03-01-07-02-01-02-08.wav
32,disgust,03-01-07-02-01-02-23.wav
33,happy,03-01-03-01-02-02-10.wav
34,fearful,03-01-06-01-01-01-23.wav
35,disgust,03-01-07-02-02-01-18.wav
36,fearful,03-01-06-02-02-01-22.wav
37,disgust,03-01-07-02-01-01-21.wav
38,disgust,03-01-07-01-01-02-10.wav
39,disgust,03-01-06-02-01-01-01.wav
40,disgust,03-01-07-02-01-02-17.wav
41,calm,03-01-02-02-02-02-17.wav
42,disgust,03-01-03-01-01-01-04.wav
43,fearful,03-01-06-02-02-01-24.wav
44,fearful,03-01-06-02-02-01-10.wav
45,calm,03-01-02-02-01-02-12.wav
46,fearful,03-01-06-02-01-02-01.wav
47,calm,03-01-07-01-01-01-10.wav
48,calm,03-01-02-02-01-01-02.wav
49,calm,03-01-02-01-01-02-24.wav
50,disgust,03-01-06-02-02-02-14.wav
51,happy,03-01-03-02-02-02-14.wav
52,happy,03-01-03-01-01-01-20.wav
53,calm,03-01-02-02-02-01-05.wav
54,calm,03-01-07-01-01-02-17.wav
55,disgust,03-01-07-02-01-01-20.wav
56,happy,03-01-03-02-02-02-20.wav
57,disgust,03-01-02-01-01-02-17.wav
58,happy,03-01-03-01-01-02-13.wav
59,calm,03-01-02-01-01-02-14.wav
60,calm,03-01-02-02-02-01-16.wav
61,happy,03-01-03-02-01-02-10.wav
62,disgust,03-01-07-02-01-02-03.wav
63,calm,03-01-06-01-02-01-19.wav
64,disgust,03-01-02-02-02-02-22.wav
65,happy,03-01-06-02-01-02-11.wav
66,disgust,03-01-02-01-01-01-04.wav
67,happy,03-01-03-02-02-01-14.wav
