States,Rainfall,Ground Water,Temperature,Soil type,Season,Crop
1,110.75,9.74,31.5,3,1,Paddy IGKVR-2 (IET 19795)
1,110.75,9.74,31.5,1,1,Paddy IGKVR-2 (IET 19795)
1,110.75,9.74,33,3,1,Paddy CR Dhan 501 (IET 19189)
1,110.75,9.74,33,1,1,Paddy CR Dhan 501 (IET 19189)
1,110.75,9.74,20.5,1,2,Wheat VL Gehun 907 (VL 907)
1,110.75,9.74,22,1,2,Wheat WHD 943
1,110.75,9.74,27.5,3,1,Millet Nandi-65 (MH-1549)
1,110.75,9.74,27.5,2,1,Millet Nandi-65 (MH-1549)
1,110.75,9.74,20,1,2,Lentil Pant Lentil-8(Pant L-063)
1,110.75,9.74,20,2,2,Lentil Pant Lentil-8(Pant L-063)
1,110.75,9.74,30,4,1,Bajra
1,110.75,9.74,30,2,1,Bajra
1,110.75,9.74,22.5,4,1,Cardamom
1,110.75,9.74,22.5,1,1,Cardamom
1,110.75,9.74,22.5,5,1,Cardamom
1,110.75,9.74,30,4,1,Urad
1,110.75,9.74,30,2,1,Urad
1,110.75,9.74,29.5,1,1,Jowar
1,110.75,9.74,29.5,2,1,Jowar
2,325,5,31.5,3,1,Paddy IGKVR-2 (IET 19795)
2,325,5,31.5,1,1,Paddy IGKVR-2 (IET 19795)
2,325,5,31.5,3,1,Paddy CR Dhan 401 (REETA)
2,325,5,31.5,1,1,Paddy CR Dhan 401 (REETA)
2,325,5,20.5,1,2,Wheat VL Gehun 907 (VL 907)
2,325,5,29,3,1,Millet MH 1540 (86M64) (Hybrid)
2,325,5,29,2,1,Millet MH 1540 (86M64) (Hybrid)
2,325,5,28,1,1,Sugarcane Karan 5 (Co 0124)
2,325,5,28,2,1,Sugarcane Karan 5 (Co 0124)
2,325,5,30,4,1,Clove
2,325,5,30,1,1,Clove
2,325,5,30,5,1,Clove
2,325,5,28.5,3,2,Banana
2,325,5,28.5,4,2,Banana
2,325,5,28.5,3,2,Banana
2,325,5,30,1,3,Moong
2,325,5,30,2,3,Moong
2,325,5,30,4,1,Urad
2,325,5,30,2,1,Urad
2,325,5,32.5,2,1,Arhar
3,156.2,1.62,22.5,3,4,Oilseed
3,156.2,1.62,22.5,4,4,Oilseed
3,156.2,1.62,22.5,3,4,Oilseed
3,156.2,1.62,25,3,1,Tea
3,156.2,1.62,25,5,1,Tea
3,156.2,1.62,21.5,2,1,Coffee
3,156.2,1.62,25,1,1,Turmeric
3,156.2,1.62,25,2,1,Turmeric
3,156.2,1.62,25,5,2,Cashewnut
3,156.2,1.62,25,6,2,Cashewnut
3,156.2,1.62,25,2,2,Cashewnut
3,156.2,1.62,27.5,6,1,Ragi
3,156.2,1.62,27.5,2,1,Ragi
3,156.2,1.62,23.5,2,1,Soyabean
3,156.2,1.62,30,4,2,Black Gram
3,156.2,1.62,30,2,2,Black Gram
3,156.2,1.62,30,2,2,Black Gram
3,156.2,1.62,20,2,2,Khesari
3,156.2,1.62,19,1,2,Wheat MACS 6222
4,125.6,7.5,30,4,1,Clove
4,125.6,7.5,30,1,1,Clove
4,125.6,7.5,30,5,1,Clove
4,125.6,7.5,27.5,1,2,Black Pepper
4,125.6,7.5,27.5,5,2,Black Pepper
4,125.6,7.5,27.5,6,2,Black Pepper
4,125.6,7.5,27.5,2,2,Black Pepper
4,125.6,7.5,30,1,3,Moong
4,125.6,7.5,30,2,3,Moong
4,125.6,7.5,22.5,1,1,Chillies
4,125.6,7.5,30,4,1,Urad
4,125.6,7.5,30,2,1,Urad
4,125.6,7.5,20,2,2,Garlic
4,125.6,7.5,20,1,2,Garlic
4,125.6,7.5,30,4,2,Black Gram
4,125.6,7.5,30,2,2,Black Gram
4,125.6,7.5,30,2,2,Black Gram
4,125.6,7.5,20,2,2,Khesari
4,125.6,7.5,18.5,1,2,Wheat MPO(JW) 1215 (MPO 1215)
4,125.6,7.5,19,1,2,Wheat MACS 6222
4,125.6,7.5,23.5,1,1,Maize PMH 5 (JH 3110)
4,125.6,7.5,23.5,2,1,Maize PMH 5 (JH 3110)
4,125.6,7.5,27.5,3,1,Millet Nandi-65 (MH-1549)
4,125.6,7.5,27.5,2,1,Millet Nandi-65 (MH-1549)
4,125.6,7.5,25.5,2,1,Groundnut Kadiri Harithandhra (K 1319)
4,125.6,7.5,26,2,1,Groundnut GPBD 5
4,125.6,7.5,20,1,2,Lentil Pant Lentil-8(Pant L-063)
4,125.6,7.5,20,2,2,Lentil Pant Lentil-8(Pant L-063)
4,125.6,7.5,20.5,1,2,Lentil Pant Lentil-7(Pant L-024)
4,125.6,7.5,20.5,2,2,Lentil Pant Lentil-7(Pant L-024)
4,125.6,7.5,29.5,1,1,Jowar
4,125.6,7.5,27.5,6,1,Ragi
4,125.6,7.5,27.5,2,1,Ragi
4,125.6,7.5,17.5,2,2,Tobacco
4,125.6,7.5,22,3,4,Tomato
4,125.6,7.5,22,1,4,Tomato
4,125.6,7.5,22,3,4,Tomato
4,125.6,7.5,22,1,4,Tomato
4,125.6,7.5,22,2,4,Tomato
5,130.4,5,26.5,1,4,Cocoa
5,130.4,5,26.5,2,4,Cocoa
5,130.4,5,28.5,1,1,Rubber
5,130.4,5,27.5,1,2,Black Pepper
5,130.4,5,27.5,5,2,Black Pepper
5,130.4,5,27.5,6,2,Black Pepper
5,130.4,5,27.5,2,2,Black Pepper
5,130.4,5,25,1,1,Turmeric
5,130.4,5,25,2,1,Turmeric
5,130.4,5,32.5,2,1,Arhar
5,130.4,5,29.5,1,1,Jowar
5,130.4,5,24,1,1,Masoor
5,130.4,5,24,6,1,Masoor
5,130.4,5,24,2,1,Masoor
5,130.4,5,21.5,1,2,Sunhemp
5,130.4,5,21.5,2,2,Sunhemp
5,130.4,5,27.5,3,1,Varagu
5,130.4,5,27.5,2,1,Varagu
5,130.4,5,20,2,2,Garlic
5,130.4,5,20,1,2,Garlic
5,130.4,5,32.5,3,1,Paddy CR Dhan 601 (IET 18558)
5,130.4,5,32.5,1,1,Paddy CR Dhan 601 (IET 18558)
5,130.4,5,18.5,1,2,Wheat MPO(JW) 1215 (MPO 1215)
5,130.4,5,20.5,1,2,Wheat VL Gehun 907 (VL 907)
5,130.4,5,22.5,1,2,Wheat Netravati (NIAW 1415)
5,130.4,5,21,1,1,Maize HSC1
5,130.4,5,21,2,1,Maize HSC1
5,130.4,5,23.5,1,1,Maize PMH 5 (JH 3110)
5,130.4,5,23.5,2,1,Maize PMH 5 (JH 3110)
5,130.4,5,27.5,3,1,Millet Nandi-65 (MH-1549)
5,130.4,5,27.5,2,1,Millet Nandi-65 (MH-1549)
5,130.4,5,27.5,3,1,Millet Nandi-61 (MH-1548)
5,130.4,5,27.5,2,1,Millet Nandi-61 (MH-1548)
5,130.4,5,28.5,3,1,Millet 86M64 (MSH 203) (Hybrid)
5,130.4,5,28.5,2,1,Millet 86M64 (MSH 203) (Hybrid)
5,130.4,5,26,2,1,Groundnut GPBD 5
5,130.4,5,20.5,1,2,Lentil Pant Lentil-7(Pant L-024)
5,130.4,5,20.5,2,2,Lentil Pant Lentil-7(Pant L-024)
6,295,13,21.5,2,1,Coffee
6,295,13,30,4,1,Clove
6,295,13,30,1,1,Clove
6,295,13,30,5,1,Clove
6,295,13,28.5,3,2,Banana
6,295,13,28.5,4,2,Banana
6,295,13,28.5,1,2,Banana
6,295,13,30,1,3,Moong
6,295,13,30,2,3,Moong
6,295,13,29.5,1,1,Jowar
6,295,13,24,1,1,Masoor
6,295,13,24,6,1,Masoor
6,295,13,24,2,1,Masoor
6,295,13,18.5,1,2,Barley Pusa Losar (BH- 380)
6,295,13,22.5,1,1,Maize DHM 119 (BH 4062)
6,295,13,22.5,2,1,Maize DHM 119 (BH 4062)
6,295,13,30.5,3,1,Millet HHB 226 (MH 1479)
6,295,13,30.5,2,1,Millet HHB 226 (MH 1479)
6,295,13,23.5,2,1,Soyabean
7,115.7,35,22.5,3,4,Oilseed
7,115.7,35,22.5,4,4,Oilseed
7,115.7,35,22.5,1,4,Oilseed
7,115.7,35,25,3,1,Tea
7,115.7,35,25,5,1,Tea
7,115.7,35,30,3,1,Jute
7,115.7,35,30,1,1,Jute
7,115.7,35,30,2,1,Jute
7,115.7,35,30,3,1,Paddy Chinsurah Rice (IET 19140)
7,115.7,35,30,1,1,Paddy Chinsurah Rice (IET 19140)
7,115.7,35,30.5,3,1,Paddy (CNI 383-5-11)
7,115.7,35,30.5,1,1,Paddy (CNI 383-5-11)
7,115.7,35,31,3,1,Paddy IGKVR-1 (IET 19569)
7,115.7,35,31,1,1,Paddy IGKVR-1 (IET 19569)
7,115.7,35,28.5,3,1,Millet 86M64 (MSH 203) (Hybrid)
7,115.7,35,28.5,2,1,Millet 86M64 (MSH 203) (Hybrid)
7,115.7,35,29,3,1,Millet MH 1540 (86M64) (Hybrid)
7,115.7,35,29,2,1,Millet MH 1540 (86M64) (Hybrid)
7,115.7,35,20.5,3,2,Onion
7,115.7,35,20.5,1,2,Onion
7,115.7,35,20.5,2,2,Onion
7,115.7,35,28.5,3,2,Banana
7,115.7,35,28.5,4,2,Banana
7,115.7,35,28.5,4,2,Banana
8,47.5,15,30,4,1,Bajra
8,47.5,15,30,2,1,Bajra
8,47.5,15,22.5,3,4,Oilseed
8,47.5,15,22.5,4,4,Oilseed
8,47.5,15,22.5,1,4,Oilseed
8,47.5,15,30,4,1,Clove
8,47.5,15,30,1,1,Clove
8,47.5,15,30,5,1,Clove
8,47.5,15,22.5,4,1,Cardamom
8,47.5,15,22.5,1,1,Cardamom
8,47.5,15,22.5,4,1,Cardamom
8,47.5,15,22.5,1,1,Cardamom
8,47.5,15,22.5,5,1,Cardamom
8,47.5,15,30,4,1,Urad
8,47.5,15,30,2,1,Urad
8,47.5,15,30,4,2,Black Gram
8,47.5,15,30.5,2,2,Black Gram
8,47.5,15,30,2,2,Black Gram
8,47.5,15,22.5,1,1,Cotton CNH012
8,47.5,15,23,1,1,Cotton CICR-3 (CISA 614)
8,47.5,15,28,1,1,Sugarcane Karan 5 (Co 0124)
8,47.5,15,28,2,1,Sugarcane Karan 5 (Co 0124)
8,47.5,15,33,3,1,Paddy CR Dhan 501 (IET 19189)
8,47.5,15,33,1,1,Paddy CR Dhan 501 (IET 19189)
8,47.5,15,29.5,1,1,Jowar
8,47.5,15,18.5,1,2,Barley Pusa Losar (BH- 380)
8,47.5,15,22.5,1,1,Maize DHM 119 (BH 4062)
8,47.5,15,22.5,2,1,Maize DHM 119 (BH 4062)
8,47.5,15,30,3,1,Rice
8,47.5,15,30,1,1,Rice
9,127.5,22,30.5,3,1,Rice
9,127.5,22,30.5,1,1,Rice
9,127.5,22,22.5,3,4,Oilseed
9,127.5,22,23,4,4,Oilseed
9,127.5,22,22.5,1,4,Oilseed
9,127.5,22,30,3,1,Jute
9,127.5,22,30,1,1,Jute
9,127.5,22,30,2,1,Jute
9,127.5,22,15,1,2,Flax
9,127.5,22,30,4,1,Clove
9,127.5,22,30,1,1,Clove
9,127.5,22,30.5,5,1,Clove
9,127.5,22,27.5,1,2,Black Pepper
9,127.5,22,28,5,2,Black Pepper
9,127.5,22,27.5,6,2,Black Pepper
9,127.5,22,28,2,2,Black Pepper
9,127.5,22,22.5,4,1,Cardamom
9,127.5,22,23,1,1,Cardamom
9,127.5,22,22.5,5,1,Cardamom
9,127.5,22,25,1,1,Turmeric
9,127.5,22,25,2,1,Turmeric
9,127.5,22,30,1,3,Moong
9,127.5,22,30.5,2,3,Moong
9,127.5,22,30,3,1,Paddy Chinsurah Rice (IET 19140)
9,127.5,22,30,1,1,Paddy Chinsurah Rice (IET 19140)
9,127.5,22,18.5,1,2,Wheat MPO(JW) 1215 (MPO 1215)
9,127.5,22,17.5,1,2,Barley BH-902
9,127.5,22,21,1,1,Maize HSC1
9,127.5,22,21,2,1,Maize HSC1
9,127.5,22,20,1,2,Lentil Pant Lentil-8(Pant L-063)
9,127.5,22,20,2,2,Lentil Pant Lentil-8(Pant L-063)
9,127.5,22,28.5,1,2,Sunflower
9,127.5,22,28.5,2,2,Sunflower
10,121.4,12,21.5,1,1,Maize HQPM-4
10,121.4,12,21.5,2,1,Maize HQPM-4
10,121.4,12,25,2,1,Groundnut Girnar - 3 (PBS 12160)
10,121.4,12,28.5,1,2,Sunflower
10,121.4,12,28.5,2,2,Sunflower
10,121.4,12,30,3,1,Paddy Chinsurah Rice (IET 19140)
10,121.4,12,30,1,1,Paddy Chinsurah Rice (IET 19140)
10,121.4,12,30,1,3,Moong
10,121.4,12,30,2,3,Moong
11,121.4,22,25,3,1,Tea
11,121.4,22,25.5,5,1,Tea
11,121.4,22,30,4,1,Clove
11,121.4,22,30,1,1,Clove
11,121.4,22,30,5,1,Clove
11,121.4,22,27.5,1,2,Black Pepper
11,121.4,22,27.5,5,2,Black Pepper
11,121.4,22,27.5,6,2,Black Pepper
11,121.4,22,27.5,2,2,Black Pepper
11,121.4,22,22.5,4,1,Cardamom
11,121.4,22,22.5,1,1,Cardamom
11,121.4,22,22.5,5,1,Cardamom
11,121.4,22,25,5,2,Cashewnut
11,121.4,22,25,6,2,Cashewnut
11,121.4,22,25,2,2,Cashewnut
11,121.4,22,27.5,6,1,Ragi
11,121.4,22,27.5,2,1,Ragi
11,121.4,22,29.5,1,1,Jowar
11,121.4,22,21,1,1,Maize HSC1
11,121.4,22,21,2,1,Maize HSC1
11,121.4,22,28,1,1,Sugarcane Karan 5 (Co 0124)
11,121.4,22,28,2,1,Sugarcane Karan 5 (Co 0124)
11,121.4,22,30,3,1,Rice
11,121.4,22,30,1,1,Rice
11,121.4,22,22.5,1,1,Chillies
12,315.7,20,27.5,1,2,Black Pepper
12,315.7,20,27.5,5,2,Black Pepper
12,315.7,20,27.5,6,2,Black Pepper
12,315.7,20,27.5,2,2,Black Pepper
12,315.7,20,25,5,2,Cashewnut
12,315.7,20,25,6,2,Cashewnut
12,315.7,20,25,2,2,Cashewnut
12,315.7,20,31.5,1,1,Dry Ginger
12,315.7,20,31.5,6,1,Dry Ginger
12,315.7,20,31.5,2,1,Dry Ginger
12,315.7,20,27,4,2,Horse Gram
12,315.7,20,27,1,2,Horse Gram
12,315.7,20,27,6,2,Horse Gram
12,315.7,20,24,1,1,Masoor
12,315.7,20,24,6,1,Masoor
12,315.7,20,24,2,1,Masoor
12,315.7,20,25,5,2,Cashewnut
12,315.7,20,25,6,2,Cashewnut
12,315.7,20,25,2,2,Cashewnut
12,315.7,20,30,3,1,Rice
12,315.7,20,30,1,1,Rice
12,315.7,20,21.5,2,1,Coffee
13,235.5,22,30,4,1,Bajra
13,235.5,22,30,2,1,Bajra
13,235.5,22,21.5,2,1,Coffee
13,235.5,22,30,3,1,Jute
13,235.5,22,30,1,1,Jute
13,235.5,22,30,2,1,Jute
13,235.5,22,25,1,1,Turmeric
13,235.5,22,25.5,2,1,Turmeric
13,235.5,22,30,4,1,Urad
13,235.5,22,30.5,2,1,Urad
13,235.5,22,32.5,2,1,Arhar
13,235.5,22,28.5,1,2,Sunflower
13,235.5,22,28.5,2,2,Sunflower
13,235.5,22,23,2,1,Castor Seed
13,235.5,22,23,1,1,Castor Seed
13,235.5,22,27.5,6,1,Ragi
13,235.5,22,28,2,1,Ragi
13,235.5,22,17.5,2,2,Tobacco
13,235.5,22,24,1,1,Masoor
13,235.5,22,24,6,1,Masoor
13,235.5,22,24,2,1,Masoor
13,235.5,22,28,2,2,Sesame
13,235.5,22,30,4,2,Black Gram
13,235.5,22,30.5,2,2,Black Gram
13,235.5,22,30,2,2,Black Gram
13,235.5,22,21,1,1,Maize HSC1
13,235.5,22,21,2,1,Maize HSC1
13,235.5,22,21.5,1,1,Maize HQPM-4
13,235.5,22,21.5,2,1,Maize HQPM-4
13,235.5,22,28.5,3,1,Millet 86M64 (MSH 203) (Hybrid)
